Order_ID,Order_Date,ProductID,Quantity,customer_id,time_id,customer_name,gender,productName,productPrice,supplierID,supplierName,storeID,storeName,total_sale
186754,2019-04-01 05:06:00,12,1,94,3,Eleanor Stewart,Female,Logitech G Pro X Mechanical Gaming Keyboard,149.99,11,Logitech,4,Game Zone,149.99
191585,2019-04-01 05:58:00,38,1,20,5,Amelia Gonzalez,Female,Canon EOS RP Mirrorless Camera,1299.99,15,Canon Inc.,6,Photo World,1299.99
177687,2019-04-01 04:12:00,46,1,50,2,Penelope Reed,Female,MSI GS66 Stealth Gaming Laptop,1999.99,27,MSI (Micro-Star International),5,InnoTech,1999.99
185103,2019-04-01 05:18:00,47,1,80,4,Caroline Morgan,Female,Fujifilm X-T4 Mirrorless Camera,1499.99,10,Fujifilm Holdings Corporation,6,Photo World,1499.99
177831,2019-04-01 03:09:00,66,1,17,1,Ethan Martin,Male,Acer Aspire 5 Laptop,549.99,6,Acer Inc.,2,Tech Haven,549.99
186650,2019-04-01 06:11:00,2,1,55,7,Jonathan Bailey,Male,Dell XPS 13 Laptop,1299.99,1,Dell Technologies,2,Tech Haven,1299.99
178407,2019-04-01 06:14:00,17,1,45,8,Gabriel Ramirez,Male,Garmin Venu 2 Smartwatch,399.99,39,Garmin Ltd.,7,Health Zone,399.99
189813,2019-04-01 06:02:00,81,1,85,6,Wyatt Alexander,Male,Acer Predator X34 Curved Gaming Monitor,999.99,6,Acer Inc.,4,Game Zone,999.99
192285,2019-04-01 06:23:00,86,1,23,10,Alexander Walker,Male,LG UltraGear 27GN950-B Gaming Monitor,1499.99,4,LG Electronics,4,Game Zone,1499.99
184067,2019-04-01 06:18:00,95,1,67,9,Adam James,Male,Lenovo ThinkPad X1 Carbon Gen 9 Laptop,1899.99,7,Lenovo Group,2,Tech Haven,1899.99
189270,2019-04-01 06:59:00,4,1,12,14,Mia Taylor,Female,Sony WH-1000XM4 Headphones,349.99,21,Sony Corporation,3,Sound Zone,349.99
189001,2019-04-01 07:01:00,34,1,2,15,Jane Smith,Female,HP Spectre x360 Laptop,1399.99,19,HP Inc.,2,Tech Haven,1399.99
182960,2019-04-01 06:47:00,45,1,4,13,Emily Brown,Female,Google Nest Hub (2nd Gen),99.99,8,Google LLC,1,Electro Mart,99.99
193992,2019-04-01 06:27:00,75,1,27,11,Henry Scott,Male,Ring Video Doorbell Pro 2,249.99,28,Ring (Amazon),1,Electro Mart,249.99
181561,2019-04-01 06:42:00,80,1,82,12,Savannah Howard,Female,Anker Soundcore Flare+ Portable Speaker,99.99,25,Anker Innovations,3,Sound Zone,99.99
191788,2019-04-01 07:17:00,15,1,37,19,David Roberts,Male,Microsoft Surface Laptop 4,1299.99,26,Microsoft Corporation,2,Tech Haven,1299.99
182666,2019-04-01 07:17:00,19,1,76,20,Audrey Perry,Female,Nikon D850 DSLR Camera,2999.99,29,Nikon Corporation,6,Photo World,2999.99
186576,2019-04-01 07:08:00,52,1,67,18,Adam James,Male,ROCCAT Vulcan Pro Mechanical Gaming Keyboard,199.99,32,ROCCAT (Turtle Beach),4,Game Zone,199.99
181552,2019-04-01 07:06:00,66,1,69,17,Jack Ross,Male,Acer Aspire 5 Laptop,549.99,6,Acer Inc.,2,Tech Haven,549.99
186297,2019-04-01 07:01:00,85,1,48,16,Zoe Morris,Female,HP Pavilion 27xw Monitor,249.99,19,HP Inc.,2,Tech Haven,249.99
193621,2019-04-01 07:21:00,4,1,64,21,Nora Hughes,Female,Sony WH-1000XM4 Headphones,349.99,21,Sony Corporation,3,Sound Zone,349.99
189152,2019-04-01 07:40:00,6,1,66,24,Luna Flores,Female,Xbox Series X,499.99,26,Microsoft Corporation,4,Game Zone,499.99
